Train,Test,LR_Acc,LR_Precision,LR_Recall,LR_F,SVM_Acc,SVM_Precision,SVM_Recall,SVM_F,NB_Acc,NB_Precision,NB_Recall,NB_F,CNN_Acc,CNN_Precision,CNN_Recall,CNN_F,LSTM_Acc,LSTM_Precision,LSTM_Recall,LSTM_F,GRU_Acc,GRU_Precision,GRU_Recall,GRU_F
200,20,0.25,0.25,0.25,0.25,0.4,0.4,0.4,0.4,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
400,40,0.55,0.55,0.55,0.55,0.6,0.6,0.6,0.6,0.55,0.55,0.55,0.55,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
600,60,0.566666667,0.566666667,0.566666667,0.566666667,0.6,0.6,0.6,0.6,0.533333333,0.533333333,0.533333333,0.533333333,0.5,0.5,0.5,0.5,0.433333333,0.433333333,0.433333333,0.433333333,0.433333333,0.433333333,0.433333333,0.433333333
50000,5000,0.6792,0.6792,0.6792,0.6792,0.6682,0.6682,0.6682,0.6682,0.6422,0.6422,0.6422,0.6422,0.6682,0.6682,0.6682,0.6682,0.6076,0.6076,0.6076,0.6076,0.6626,0.6626,0.6626,0.6626
100000,10000,0.6811,0.6811,0.6811,0.6811,0.6742,0.6742,0.6742,0.6742,0.6491,0.6491,0.6491,0.6491,0.6861,0.6861,0.6861,0.6861,0.6596,0.6596,0.6596,0.6596,0.6856,0.6856,0.6856,0.6856
150000,15000,0.681733333,0.681733333,0.681733333,0.681733333,0.678733333,0.678733333,0.678733333,0.678733333,0.646133333,0.646133333,0.646133333,0.646133333,0.6904,0.6904,0.6904,0.6904,0.676066667,0.676066667,0.676066667,0.676066667,0.6952,0.6952,0.6952,0.6952
200000,20000,0.6853,0.6853,0.6853,0.6853,0.68195,0.68195,0.68195,0.68195,0.64355,0.64355,0.64355,0.64355,0.6959,0.6959,0.6959,0.6959,0.6847,0.6847,0.6847,0.6847,0.69615,0.69615,0.69615,0.69615
250000,25000,0.68564,0.68564,0.68564,0.68564,0.68308,0.68308,0.68308,0.68308,0.6472,0.6472,0.6472,0.6472,0.69292,0.69292,0.69292,0.69292,0.69644,0.69644,0.69644,0.69644,0.705,0.705,0.705,0.705
300000,30000,0.6856,0.6856,0.6856,0.6856,0.6824,0.6824,0.6824,0.6824,0.647033333,0.647033333,0.647033333,0.647033333,0.701266667,0.701266667,0.701266667,0.701266667,0.701466667,0.701466667,0.701466667,0.701466667,0.7068,0.7068,0.7068,0.7068
350000,35000,0.6858,0.6858,0.6858,0.6858,0.685114286,0.685114286,0.685114286,0.685114286,0.648,0.648,0.648,0.648,0.699714286,0.699714286,0.699714286,0.699714286,0.706085714,0.706085714,0.706085714,0.706085714,0.7112,0.7112,0.7112,0.7112
400000,40000,0.68915,0.68915,0.68915,0.68915,0.68805,0.68805,0.68805,0.68805,0.650375,0.650375,0.650375,0.650375,0.70715,0.70715,0.70715,0.70715,0.70835,0.70835,0.70835,0.70835,0.7141,0.7141,0.7141,0.7141
450000,45000,0.689666667,0.689666667,0.689666667,0.689666667,0.687844444,0.687844444,0.687844444,0.687844444,0.649244444,0.649244444,0.649244444,0.649244444,0.707266667,0.707266667,0.707266667,0.707266667,0.7174,0.7174,0.7174,0.7174,0.719866667,0.719866667,0.719866667,0.719866667
500000,50000,0.69108,0.69108,0.69108,0.69108,0.68928,0.68928,0.68928,0.68928,0.65038,0.65038,0.65038,0.65038,0.70664,0.70664,0.70664,0.70664,0.71838,0.71838,0.71838,0.71838,0.72402,0.72402,0.72402,0.72402
550000,55000,0.690709091,0.690709091,0.690709091,0.690709091,0.689836364,0.689836364,0.689836364,0.689836364,0.650272727,0.650272727,0.650272727,0.650272727,0.702327273,0.702327273,0.702327273,0.702327273,0.719818182,0.719818182,0.719818182,0.719818182,0.724981818,0.724981818,0.724981818,0.724981818
600000,60000,0.6907,0.6907,0.6907,0.6907,0.689616667,0.689616667,0.689616667,0.689616667,0.651816667,0.651816667,0.651816667,0.651816667,0.702466667,0.702466667,0.702466667,0.702466667,0.72435,0.72435,0.72435,0.72435,0.726233333,0.726233333,0.726233333,0.726233333
650000,65000,0.691046154,0.691046154,0.691046154,0.691046154,0.690107692,0.690107692,0.690107692,0.690107692,0.652461538,0.652461538,0.652461538,0.652461538,0.716615385,0.716615385,0.716615385,0.716615385,0.726292308,0.726292308,0.726292308,0.726292308,0.718184615,0.718184615,0.718184615,0.718184615
700000,70000,0.691071429,0.691071429,0.691071429,0.691071429,0.690271429,0.690271429,0.690271429,0.690271429,0.651957143,0.651957143,0.651957143,0.651957143,0.715214286,0.715214286,0.715214286,0.715214286,0.727114286,0.727114286,0.727114286,0.727114286,0.727757143,0.727757143,0.727757143,0.727757143
750000,75000,0.690826667,0.690826667,0.690826667,0.690826667,0.689413333,0.689413333,0.689413333,0.689413333,0.65052,0.65052,0.65052,0.65052,0.71604,0.71604,0.71604,0.71604,0.72812,0.72812,0.72812,0.72812,0.73184,0.73184,0.73184,0.73184
800000,80000,0.691025,0.691025,0.691025,0.691025,0.68985,0.68985,0.68985,0.68985,0.65055,0.65055,0.65055,0.65055,0.71805,0.71805,0.71805,0.71805,0.7298,0.7298,0.7298,0.7298,0.7326125,0.7326125,0.7326125,0.7326125
850000,85000,0.691329412,0.691329412,0.691329412,0.691329412,0.689941176,0.689941176,0.689941176,0.689941176,0.650741176,0.650741176,0.650741176,0.650741176,0.717223529,0.717223529,0.717223529,0.717223529,0.733552941,0.733552941,0.733552941,0.733552941,0.732658824,0.732658824,0.732658824,0.732658824
900000,90000,0.691044444,0.691044444,0.691044444,0.691044444,0.689977778,0.689977778,0.689977778,0.689977778,0.651011111,0.651011111,0.651011111,0.651011111,0.717433333,0.717433333,0.717433333,0.717433333,0.733955556,0.733955556,0.733955556,0.733955556,0.730211111,0.730211111,0.730211111,0.730211111
950000,95000,0.6912,0.6912,0.6912,0.6912,0.690031579,0.690031579,0.690031579,0.690031579,0.650042105,0.650042105,0.650042105,0.650042105,0.718147368,0.718147368,0.718147368,0.718147368,0.734789474,0.734789474,0.734789474,0.734789474,0.736231579,0.736231579,0.736231579,0.736231579
1000000,100000,0.69185,0.69185,0.69185,0.69185,0.6904,0.6904,0.6904,0.6904,0.65076,0.65076,0.65076,0.65076,0.7177,0.7177,0.7177,0.7177,0.73588,0.73588,0.73588,0.73588,0.73662,0.73662,0.73662,0.73662
1050000,105000,0.692085714,0.692085714,0.692085714,0.692085714,0.690314286,0.690314286,0.690314286,0.690314286,0.65047619,0.65047619,0.65047619,0.65047619,0.71807619,0.71807619,0.71807619,0.71807619,0.737352381,0.737352381,0.737352381,0.737352381,0.733352381,0.733352381,0.733352381,0.733352381
1100000,110000,0.692563636,0.692563636,0.692563636,0.692563636,0.690509091,0.690509091,0.690509091,0.690509091,0.651009091,0.651009091,0.651009091,0.651009091,0.718718182,0.718718182,0.718718182,0.718718182,0.734618182,0.734618182,0.734618182,0.734618182,0.736618182,0.736618182,0.736618182,0.736618182
1150000,115000,0.692043478,0.692043478,0.692043478,0.692043478,0.6904,0.6904,0.6904,0.6904,0.651104348,0.651104348,0.651104348,0.651104348,0.720434783,0.720434783,0.720434783,0.720434783,0.738017391,0.738017391,0.738017391,0.738017391,0.737904348,0.737904348,0.737904348,0.737904348
1200000,120000,0.69195,0.69195,0.69195,0.69195,0.690383333,0.690383333,0.690383333,0.690383333,0.6511,0.6511,0.6511,0.6511,0.72085,0.72085,0.72085,0.72085,0.738791667,0.738791667,0.738791667,0.738791667,0.7385,0.7385,0.7385,0.7385
1250000,125000,0.691472,0.691472,0.691472,0.691472,0.690288,0.690288,0.690288,0.690288,0.650912,0.650912,0.650912,0.650912,0.716704,0.716704,0.716704,0.716704,0.738256,0.738256,0.738256,0.738256,0.735576,0.735576,0.735576,0.735576
1300000,130000,0.692215385,0.692215385,0.692215385,0.692215385,0.690746154,0.690746154,0.690746154,0.690746154,0.650853846,0.650853846,0.650853846,0.650853846,0.720523077,0.720523077,0.720523077,0.720523077,0.740453846,0.740453846,0.740453846,0.740453846,0.738569231,0.738569231,0.738569231,0.738569231
1350000,135000,0.691748148,0.691748148,0.691748148,0.691748148,0.690637037,0.690637037,0.690637037,0.690637037,0.650822222,0.650822222,0.650822222,0.650822222,0.7226,0.7226,0.7226,0.7226,0.742096296,0.742096296,0.742096296,0.742096296,0.739711111,0.739711111,0.739711111,0.739711111
1400000,140000,0.691942857,0.691942857,0.691942857,0.691942857,0.690735714,0.690735714,0.690735714,0.690735714,0.650871429,0.650871429,0.650871429,0.650871429,0.719635714,0.719635714,0.719635714,0.719635714,0.74455,0.74455,0.74455,0.74455,0.740142857,0.740142857,0.740142857,0.740142857
1450000,145000,0.691689655,0.691689655,0.691689655,0.691689655,0.690544828,0.690544828,0.690544828,0.690544828,0.6506,0.6506,0.6506,0.6506,0.724289655,0.724289655,0.724289655,0.724289655,0.747413793,0.747413793,0.747413793,0.747413793,0.742682759,0.742682759,0.742682759,0.742682759
2000000,200000,0.692145,0.692145,0.692145,0.692145,0.69072,0.69072,0.69072,0.69072,0.650075,0.650075,0.650075,0.650075,0.72657,0.72657,0.72657,0.72657,0.750125,0.750125,0.750125,0.750125,0.744045,0.744045,0.744045,0.744045
2500000,250000,0.692732,0.692732,0.692732,0.692732,0.69162,0.69162,0.69162,0.69162,0.65012,0.65012,0.65012,0.65012,0.726308,0.726308,0.726308,0.726308,0.754812,0.754812,0.754812,0.754812,0.75026,0.75026,0.75026,0.75026
2900000,290000,0.6925,0.6925,0.6925,0.6925,0.691596552,0.691596552,0.691596552,0.691596552,0.648927586,0.648927586,0.648927586,0.648927586,0.726158621,0.726158621,0.726158621,0.726158621,0.755417241,0.755417241,0.755417241,0.755417241,0.751351724,0.751351724,0.751351724,0.751351724
